"Motivo del rechazo";"Campaña";"Fecha de presupuesto";"Nº documento";"Tercero";"Descripción";"Imp. total líneas";"Importe total";"Proyecto";"Estado doc.";"Coste Materiales Previstos";"Horas Previstas";"Creado por"
"";"CLIENTE RECURRENTE";"08-05-2026";"PT/26645";"ACTIMUNDI";"AMPLIACION POP UP MAISON PERRIER CHIC";1296,00;1568,16;"";"Borrador";62,18;24;"AURELIO PULIDO"
"";"ANUNCIOS";"08-05-2026";"PT/26644";"THE SARAO FACTORY, S.L.U.";"LOGOTIPOS CORPÓREOS ";2278,00;2756,38;"";"Bajo evaluación";37;10;"MARIA ANTON DUARTE"
"";"";"08-05-2026";"PT/26643";"SAMSUNG ELECTRONICS IBERIA, S.A";"PROTOTIPO LANZAMIENTO RFP - DISEÑO, PRODUCCION E IMPLANTACION CRF";4459,00;5395,39;"";"Borrador";;;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"07-05-2026";"PT/26642";"ORANGE ESPAGNE";"ID 53042 VIVATED, VALDEPEÑAS, CIUDAD REAL ..... A MEDIDA";2071,55;2506,58;"26ORANGE - ORANGE - SIMYO 2026";"Borrador";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"06-05-2026";"PT/26641";"RALPH LAUREN ESPAÑA S.L.";"LOGOS EXTRA ECI AVENIDA PALMA DE MALLORCA";285,00;344,85;"";"Bajo evaluación";95;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"06-05-2026";"PT/26640";"ACTIMUNDI";"POP UP MAISON PERRIER CHIC";33943,11;41071,16;"";"Borrador";2275,22;420;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"06-05-2026";"PT/26639";"ORANGE ESPAGNE";"33001 TP COMPUTER, SA POBLA, BALEARES";2494,29;3018,09;"26ORANGE - ORANGE - SIMYO 2026";"Borrador";1;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"06-05-2026";"PT/26638";"ORANGE ESPAGNE";"61243 COLOURMOBILE, TORREMOLINOS, MÁLAGA";2094,22;2534,01;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"06-05-2026";"PT/26637";"IDONEA COMUNICACION, S.L.";"EVENTO LOREAL PROFESSIONNEL";21190,30;25640,26;"";"Borrador";6882;148;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"23-04-2026";"PT/26636";"IDONEA COMUNICACION, S.L.";"MATCH HOSPITALITY F1 ESPACIO NAKARI V3 ESTRUCTURAS + MOQUETA";19813,73;23974,61;"";"Cerrado - Pedido creado";9500;280;"ADALBERTO"
"";"ACCION COMERCIAL";"05-05-2026";"PT/26635";"HAWKERS GROUP S.L.";"MOBILIARIO";8926,30;10800,82;"";"Borrador";2587,88;106;"BELEN ESPEJO"
"";"CLIENTE RECURRENTE";"05-05-2026";"PT/26634";"HERMES IBERICA";"RETIRADA CORTINAS TWEE MUIZEN PATIO";560,00;677,60;"";"Cerrado - Pedido creado";10;10;"MARIA ANTON DUARTE"
"";"";"05-05-2026";"PT/26633";"MICHAEL KORS (SWITZERLAND) GMBH.";"MK COSTUM SOFA ";176063,70;176063,70;"";"Borrador";;;"ADALBERTO"
"";"CLIENTE RECURRENTE";"20-02-2026";"PT/26632";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO MATERIALES EUSKATEL
";96,00;116,16;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"05-05-2026";"PT/26631";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO MATERIALES DIRECTO MADRID, IMAGINEPRO
";90,00;108,90;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"04-05-2026";"PT/26630";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP VALENTINO SUMMER 2026";136800,15;165528,18;"";"Bajo evaluación";41705;1280;"LAURA MUÑOZ"
"";"";"04-05-2026";"PT/26629";"COCOTIME EVENTS S.L.";"VINILO DICROICO IQOS NACIONAL";8718,63;10549,54;"";"Borrador";;;"AURELIO PULIDO"
"";"";"04-05-2026";"PT/26628";"ALTAN PHARMACEUTICALS, S.A.U";"CARTEL OBRA MAYO 26";882,50;1067,83;"";"Borrador";137;10;"ADALBERTO"
"";"CLIENTE RECURRENTE";"04-05-2026";"PT/26627";"ORANGE ESPAGNE";"56872 FORMASMOVIL, ALMENARA, CASTELLÓN";2517,04;3045,62;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"04-05-2026";"PT/26626";"LOUIS VUITTON";"SOPORTES ESTANTERÍAS FLOTANTES - W2 RESORT 2026";67,25;81,37;"";"Cerrado - Pedido creado";27;1;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"04-05-2026";"PT/26625";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"LEFTIES REPINTADO KIOSCO BOLSA Y BASE ";17937,50;21704,38;"";"Borrador";10000;10;"ADALBERTO"
"";"CLIENTE RECURRENTE";"04-05-2026";"PT/26624";"ORANGE ESPAGNE";"46623 GRAN BAZAR LA BAÑEZA, FUENLABRADA, MADRID";560,95;678,75;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"MARIA ANTON DUARTE"
"NO TIENEN PRESUPUESTO";"CLIENTE RECURRENTE";"04-05-2026";"PT/26623";"SUAREZ";"TAPIZADO MESAS COCODRILO";20245,75;24497,36;"";"Bajo evaluación";883,9;334;"MARIA"
"FUERA DE PLAZO";"CLIENTE RECURRENTE";"30-04-2026";"PT/26622";"LOUIS VUITTON";"ENVÍO URGENTE A UN PUNTO DE PALMA DE MALLORCA";3229,22;3907,36;"";"Cerrado - Rechazado";2691,02;3;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"30-04-2026";"PT/26621";"MURPH MEDIA GROUP, S.L.";"AMPLIACION EVENTO TERESA HELBIG IBERIA";584,80;707,61;"260226 - MURPH - EVENTO TERESA HELBIG IBERIA";"Cerrado - Pedido creado";174,89;5;"BELEN ESPEJO"
"";"RECOMENDACION";"27-04-2026";"PT/26620";"GRUPO OLIPISTAL, S.L";"VINILACIÓN GIMNASIO UFIT BOUTIQUE";3526,57;4267,15;"26ORANGE - ORANGE - SIMYO 2026";"Bajo evaluación";1;15;"MARIA ANTON DUARTE"
"";"MAIL INFO";"30-04-2026";"PT/26619";"SARDINHA DE ARTESANATO, S.L.";"MIRA MIRA - MESA SIN LUZ Y PANEL MDF LACADO MUESTRAS";2764,90;3345,53;"";"Borrador";543,24;25;"ADALBERTO"
"";"CLIENTE RECURRENTE";"30-04-2026";"PT/26618";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"LEFTIES ADAPTACION ELECTRICA PARA MAQUINAS DE CAFE";857,00;1036,97;"";"Cerrado - Pedido creado";206;8;"ADALBERTO"
"DUPLICADO";"CLIENTE RECURRENTE";"30-04-2026";"PT/26617";"IDONEA COMUNICACION, S.L.";"EVENTO LOREAL PROFESSIONNEL";21049,47;25469,86;"";"Cerrado - Rechazado";6882;148;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"30-04-2026";"PT/26616";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE LEFTIES PODIUM EXTRA PARIS ";858,00;1038,18;"";"Bajo evaluación";500;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"29-04-2026";"PT/26615";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE GIORGIO ARMANI";28295,25;34237,25;"";"Bajo evaluación";6223;290;"JULIA RODRIGUEZ LUTKINS"
"";"CLIENTE RECURRENTE";"29-04-2026";"PT/26614";"SERINT GRUPO HMY";"TIENDA SOL SEPHORA";91033,21;110150,18;"";"Bajo evaluación";42250;195;"JULIA RODRIGUEZ LUTKINS"
"";"CLIENTE RECURRENTE";"22-04-2026";"PT/26613";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026 - FLORISTERIAS FINAL";2025,91;2451,35;"260217 - WOZERE - PRADA MAYO 2026";"Cerrado - Pedido creado";446,8;21;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"28-04-2026";"PT/26612";"IDONEA COMUNICACION, S.L.";"EVENTO LOREAL PROFESSIONNEL";15997,83;19357,37;"";"Cerrado - Rechazado";4835;135;"LAURA MUÑOZ"
"";"MAIL INFO";"27-04-2026";"PT/26611";"SARDINHA DE ARTESANATO, S.L.";"DISEÑOS TIENDAS PLANO CENITAL, ALZADO Y RENDERS";2146,00;2596,66;"";"Bajo evaluación";1;1;"ADALBERTO"
"";"MAIL INFO";"08-04-2026";"PT/26610";"SARDINHA DE ARTESANATO, S.L.";"MIRA MIRA - MESA CON LUZ Y PANEL MDF IGNIFUGO ";3680,93;4453,93;"";"Bajo evaluación";543,24;25;"ADALBERTO"
"";"MAIL INFO";"08-04-2026";"PT/26609";"SARDINHA DE ARTESANATO, S.L.";"MIRA MIRA - MESA CON LUZ Y PANEL MDF LACADO";3234,31;3913,52;"";"Bajo evaluación";543,24;25;"ADALBERTO"
"";"MAIL INFO";"08-04-2026";"PT/26608";"SARDINHA DE ARTESANATO, S.L.";"MIRA MIRA - MESA AGLOMERADO LACADO CON LUZ  Y PANEL MDF LACADO ";3142,58;3802,52;"";"Bajo evaluación";543,24;25;"ADALBERTO"
"";"CLIENTE RECURRENTE";"27-04-2026";"PT/26607";"ORANGE ESPAGNE";"4210 STAR PHONE, PAMA DE MALLORCA, ISLAS BALEARES";2855,66;3455,35;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"24-04-2026";"PT/26606";"NAVYA SOLUTIONS S.L.";"CUADROS IMPRESOS";285,80;345,82;"";"Borrador";;;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26605";"HERMES IBERICA";"EXTRA ESCAPARATES HERMES TRASERAS MARBELLA 2026";584,60;707,37;"";"Cerrado - Pedido creado";150;3;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26604";"ORANGE ESPAGNE";"ID45176 FIBRA IMÓBILS, BELLPUIG, LLEIDA ..... A MEDIDA";2564,46;3103,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26603";"ORANGE ESPAGNE";"ID57221 PAPELERÍA INFORMÁTICA GEMA, VILLAFRANCA DE LOS CABALLEROS, TOLEDO ...... A MEDIDA";1912,11;2313,65;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"23-04-2026";"PT/26602";"EUREST COLECTIVIDADES, S.L.";"PLANTILLA GRAFITTI INVERSO";471,80;570,88;"";"Borrador";;;"AURELIO PULIDO"
"";"";"23-04-2026";"PT/26601";"COCOTIME EVENTS S.L.";"MUEBLE KIKO MILANO";4244,50;5135,85;"";"Borrador";330,5;34;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"23-04-2026";"PT/26600";"IDONEA COMUNICACION, S.L.";"MATCH HOSPITALITY F1 ESPACIO NAKARI V3 VINILOS + ROTULOS";1590,30;1924,26;"";"Borrador";9500;280;"ADALBERTO"
"";"CLIENTE RECURRENTE";"23-04-2026";"PT/26599";"MARKETING DIRECTO";"CONECTADOS MAYO 2026";0,00;0,00;"GENERICO - MARKETING DIRECTO 2026";"Cerrado - Pedido creado";956,38;20;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"22-04-2026";"PT/26598";"SUAREZ";"CAJA GEMELOS";82,50;99,83;"260230 - SUAREZ - CAJA GEMELOS";"Cerrado - Pedido creado";1;2;"MARIA"
"";"CLIENTE RECURRENTE";"22-04-2026";"PT/26597";"ORANGE ESPAGNE";"ID 22894 BERCHUSMOVIL, LEÓN ...... REPETICIÓN METACRILATOS";0,00;0,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"24-04-2026";"PT/26596";"ORANGE ESPAGNE";"ID47406 PHONE AQUÍ LAS NAVAS, LAS NAVAS DEL MARQUÉS, ÁVILA ...... A MEDIDA";2387,82;2889,26;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"";"21-04-2026";"PT/26595";"IVAN CARLOS LOURENÇO DA SILVA";"CORPOREAS BLONDA";741,60;897,34;"";"Borrador";;;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26594";"TRAPIELLO MAS O MENOS S.L.";"ESCAPARATES HERMES LISBOA Y ORTEGA Y GASSET JUNIO 2026";8590,40;10394,38;"";"Cerrado - Pedido creado";4892;37;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26593";"ORANGE ESPAGNE";"ID61181 ELECTRICIDAD CHAN, PORTONOVO, PONTEVEDRA ...... A MEDIDA";2109,55;2552,56;"26ORANGE - ORANGE - SIMYO 2026";"Bajo evaluación";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"20-04-2026";"PT/26592";"ORANGE ESPAGNE";"ID52780 PCBYTE, SAN SEBASTIÁN, GUIPÚZKOA ...... A MEDIDA";1756,22;2125,03;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"DUPLICADO";"CLIENTE RECURRENTE";"20-04-2026";"PT/26591";"IDONEA COMUNICACION, S.L.";"EVENTO LOREAL PROFESSIONNEL";28942,61;35020,56;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"19-04-2026";"PT/26590";"IDONEA COMUNICACION, S.L.";"MATCH HOSPITALITY F1 ESPACIO NAKARI";27428,39;33188,35;"";"Cerrado - Rechazado";1;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26589";"ORANGE ESPAGNE";"ID52606 BENAVENT TELECOM, PUEBLA DE VICAR, ALMERÍA ...... A MEDIDA";2380,06;2879,87;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26588";"IPMARK";"BEST!N BEAUTY ABRIL";0,00;0,00;"IPMARK26 - IPMARK - EVENTOS 2026";"Cerrado - Pedido creado";179,25;8;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"17-04-2026";"PT/26587";"NORTHSIX PRODUCTIONS AND EVENTS SPAIN, SLU";"DISPLAYS MANGO";26820,17;32452,41;"260243 - NORTHSIX - DISPLAYS MANGO";"Cerrado - Pedido creado";7329,65;208;"MARIA"
